<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.example.notificationtest.MyNotification dummyMainMethod_com_example_notificationtest_MyNotification(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.example.notificationtest.MyBroadcastReceiver dummyMainMethod_com_example_notificationtest_MyBroadcastReceiver(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: androidx.profileinstaller.ProfileInstallReceiver dummyMainMethod_androidx_profileinstaller_ProfileInstallReceiver(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <com.example.notificationtest.MainActivity: void <clinit>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void <clinit>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.appcompat.app.AppCompatDelegate: void <clinit>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.appcompat.app.AppCompatDelegateImpl: void <clinit>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.Fragment: void <clinit>()>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <java.lang.String: void <clinit>()>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <java.lang.String: void <clinit>()>
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()> -> <androidx.collection.ArraySet: void <clinit>()>
<androidx.appcompat.app.AppCompatDelegateImpl: void <clinit>()> -> <androidx.appcompat.app.AppCompatDelegate: void <clinit>()>
<androidx.appcompat.app.AppCompatDelegateImpl: void <clinit>()> -> <androidx.collection.SimpleArrayMap: void <init>()>
<androidx.collection.SimpleArrayMap: void <init>()> -> <androidx.collection.ContainerHelpers: void <clinit>()>
<androidx.collection.SimpleArrayMap: void <init>()> -> <java.lang.Object: void <init>()>
<java.lang.Object: void <init>()> -> <java.lang.Object: void finalize()>
<java.lang.RuntimeException: void <init>(java.lang.String)> -> <java.lang.Exception: void <init>()>
<java.lang.Exception: void <init>()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.Exception: void <init>()> -> <java.lang.Throwable: void <init>()>
<java.lang.Throwable: void <init>()> -> <java.lang.Object: void <init>()>
